employee_id,date_of_joining,joining_month,gender,company_type,wfh_setup_available,designation,resource_allocation,mental_fatigue_score,burn_rate,risk
EMP000001,30-09-2008,September,Female,Service,No,2,3,3.8,0.16,Low Risk
EMP000002,30-11-2008,November,Male,Service,Yes,1,2,5,0.36,Low Risk
EMP000004,03-11-2008,November,Male,Service,Yes,1,1,2.6,0.2,Low Risk
EMP000005,24-07-2008,July,Female,Service,No,3,7,6.9,0.52,Low Risk
EMP000006,26-11-2008,November,Male,Product,Yes,2,4,3.6,0.29,Low Risk
EMP000007,02-01-2008,January,Female,Service,No,3,6,7.9,0.62,Low Risk
EMP000008,31-10-2008,October,Female,Service,Yes,2,4,4.4,0.33,Low Risk
EMP000011,16-03-2008,March,Male,Product,Yes,2,3,5.3,0.5,Low Risk
EMP000012,12-05-2008,May,Male,Service,Yes,0,1,1.8,0.12,Low Risk
EMP000015,14-05-2008,May,Male,Product,Yes,1,3,5.8,0.51,Low Risk
EMP000016,03-02-2008,February,Female,Service,Yes,3,5,4.7,0.32,Low Risk
EMP000017,17-03-2008,March,Male,Service,Yes,1,2,5.9,0.39,Low Risk
EMP000018,28-03-2008,March,Male,Service,No,3,6,6.7,0.59,Low Risk
EMP000019,29-05-2008,May,Female,Product,Yes,2,4,4,0.22,Low Risk
EMP000021,31-08-2008,August,Male,Product,No,2,4,7.6,0.57,Low Risk
EMP000022,15-01-2008,January,Male,Service,Yes,1,3,6.3,0.47,Low Risk
EMP000023,04-05-2008,May,Male,Service,Yes,1,3,6.7,0.46,Low Risk
EMP000027,11-10-2008,October,Male,Service,No,2,4,6.6,0.44,Low Risk
EMP000028,18-09-2008,September,Female,Service,No,2,4,7.4,0.6,Low Risk
EMP000029,16-09-2008,September,Female,Service,No,2,5,6.7,0.46,Low Risk
EMP000031,12-05-2008,May,Female,Product,Yes,1,2,3.6,0.2,Low Risk
EMP000032,16-12-2008,December,Female,Service,Yes,1,2,3.9,0.2,Low Risk
EMP000033,11-10-2008,October,Female,Service,No,0,1,3,0.19,Low Risk
EMP000034,10-03-2008,March,Male,Service,No,1,3,4.7,0.31,Low Risk
EMP000035,03-05-2008,May,Male,Product,No,4,8,8.7,0.81,High Risk
EMP000036,04-08-2008,August,Male,Service,Yes,3,5,4.4,0.39,Low Risk
EMP000037,31-07-2008,July,Female,Service,Yes,3,6,5.8,0.42,Low Risk
EMP000038,17-06-2008,June,Female,Product,Yes,0,2,3.9,0.19,Low Risk
